LOC124905335_1	XR_007068557.1_1	1	1	15080	21429	LOC124905335
LOC112268260	XM_047436352.1	1	-1	20529	37628	LOC112268260
LOC101928626	NR_125957.1	1	-1	52979	54612	LOC101928626
OR4F29	NM_001005221.2	1	-1	111940	112877	OR4F29
LOC107986552_1	XR_001743907.1_1	1	-1	115046	117120	LOC107986552
LOC100288069	NR_168328.1	1	-1	152269	205171	LOC100288069
LINC01409	XR_007065319.1	1	1	205295	214212	LINC01409
LINC01409	XR_007065320.1	1	1	205329	214212	LINC01409
LOC124903817	XR_007065339.1	1	1	220504	227987	LOC124903817
FAM87B	NR_103536.1	1	1	246378	248841	FAM87B
LINC00115	NR_024321.1	1	-1	255178	256494	LINC00115
LINC01128	NR_047526.1	1	1	256563	272573	LINC01128
LINC01128	NR_047519.1	1	1	256563	288416	LINC01128
LINC01128	NR_047521.1	1	1	256563	288416	LINC01128
LINC01128	NR_047523.1	1	1	256563	288416	LINC01128
LINC01128	NR_047524.1	1	1	256563	288416	LINC01128
LINC01128	NR_047525.1	1	1	256770	288416	LINC01128
LOC107984850	XR_001737607.3	1	1	289156	294815	LOC107984850
LOC107984850	XR_001737608.3	1	1	289201	297176	LOC107984850
FAM41C	NR_027055.1	1	-1	297045	306720	FAM41C
LOC284600	XR_007065341.1	1	1	334800	347799	LOC284600
LOC284600	XR_007065344.1	1	1	334800	347799	LOC284600
LOC284600	XR_007065346.1	1	1	334800	347799	LOC284600
LOC284600	XR_007065343.1	1	1	335076	347799	LOC284600
LOC284600	XR_007065345.1	1	1	335076	347799	LOC284600
LOC284600	XR_007065347.1	1	1	335076	347799	LOC284600
LOC284600	XR_007065340.1	1	1	335076	350663	LOC284600
LOC284600	XR_007065342.1	1	1	335076	350663	LOC284600
LINC02593	NR_026874.2	1	-1	346462	349336	LINC02593
LINC02593	NR_122045.1	1	-1	346462	349336	LINC02593
LOC107985728	NR_168405.1	1	-1	349887	355237	LOC107985728
SAMD11	NM_001385640.1	1	1	353566	373316	SAMD11
SAMD11	NM_001385641.1	1	1	353566	373316	SAMD11
SAMD11	NM_152486.4	1	1	355364	373316	SAMD11
NOC2L	NM_015658.4	1	-1	372945	388041	NOC2L
KLHL17	NM_198317.3	1	1	389374	394430	KLHL17
KLHL17	XM_006710600.4	1	1	389911	394430	KLHL17
KLHL17	XM_006710601.4	1	1	390054	392206	KLHL17
KLHL17	XM_047419226.1	1	1	390058	393231	KLHL17
KLHL17	XM_047419224.1	1	1	390059	394430	KLHL17
KLHL17	XM_047419225.1	1	1	390060	394430	KLHL17
PLEKHN1	XM_017002479.2	1	1	395193	401089	PLEKHN1
PLEKHN1	XM_047431795.1	1	1	395193	402029	PLEKHN1
PLEKHN1	XM_017002478.3	1	1	395193	402310	PLEKHN1
PLEKHN1	NM_001160184.2	1	1	395193	404574	PLEKHN1
PLEKHN1	NM_001367552.1	1	1	395193	404574	PLEKHN1
PLEKHN1	NM_032129.3	1	1	395193	404574	PLEKHN1
PLEKHN1	XM_011542248.3	1	1	395193	404574	PLEKHN1
PLEKHN1	XM_017002474.2	1	1	395193	404574	PLEKHN1
PLEKHN1	XM_017002475.2	1	1	395193	404574	PLEKHN1
PLEKHN1	XM_047431794.1	1	1	395193	404574	PLEKHN1
PERM1	NM_001369898.1	1	-1	403907	411013	PERM1
PERM1	NM_001291366.2	1	-1	403907	411933	PERM1
PERM1	NM_001291367.2	1	-1	403907	411933	PERM1
PERM1	NM_001369897.1	1	-1	403907	411933	PERM1
PERM1	NM_001394713.1	1	-1	403907	411933	PERM1
HES4	NM_001142467.2	1	-1	429119	430252	HES4
HES4	NM_021170.4	1	-1	429119	430252	HES4
HES4	XM_005244771.5	1	-1	429119	430252	HES4
HES4	XM_047426314.1	1	-1	429119	430252	HES4
HES4	XM_047426320.1	1	-1	429119	430252	HES4
ISG15	NM_005101.4	1	1	443628	444671	ISG15
AGRN	NM_001305275.2	1	1	450247	486181	AGRN
AGRN	NM_198576.4	1	1	450247	486181	AGRN
AGRN	XM_005244749.4	1	1	450247	486181	AGRN
AGRN	XM_011541429.3	1	1	450247	486181	AGRN
AGRN	XM_047419836.1	1	1	450247	486181	AGRN
AGRN	NM_001364727.2	1	1	464129	486181	AGRN
AGRN	XM_047419838.1	1	1	472035	486181	AGRN
AGRN	XM_047419837.1	1	1	472256	486181	AGRN
LOC100288175	NR_148960.1	1	1	489806	496468	LOC100288175
LOC105378948	NR_168432.1	1	-1	495650	499431	LOC105378948
LOC105378948	NR_168433.1	1	-1	495650	499431	LOC105378948
RNF223	NM_001205252.2	1	-1	501061	504400	RNF223
C1orf159	NM_001330306.2	1	-1	510436	544704	C1orf159
C1orf159	NM_001363525.2	1	-1	510436	544704	C1orf159
C1orf159	NM_017891.5	1	-1	510436	544704	C1orf159
LOC124903819	XR_007065349.1	1	-1	551518	557599	LOC124903819
LOC124903820	XR_007065351.1	1	1	557299	590537	LOC124903820
LINC01342	NR_038869.1	1	1	565633	572671	LINC01342
LOC124903820	XR_007065350.1	1	1	586286	590537	LOC124903820
LOC124903818	XR_007065348.1	1	1	591474	598935	LOC124903818
MIR200B	NR_029639.1	1	1	595701	595795	MIR200B
MIR200B	unassigned_transcript_5	1	1	595721	595742	MIR200B
MIR200B	unassigned_transcript_6	1	1	595757	595778	MIR200B
MIR200A	NR_029834.1	1	1	596460	596549	MIR200A
MIR200A	unassigned_transcript_7	1	1	596475	596496	MIR200A
MIR200A	unassigned_transcript_8	1	1	596513	596534	MIR200A
MIR429	NR_029957.1	1	1	597602	597684	MIR429
MIR429	unassigned_transcript_9	1	1	597652	597673	MIR429
TTLL10-AS1	NR_173246.1	1	-1	601653	608152	TTLL10-AS1
TTLL10	XM_047416882.1	1	1	602477	613478	TTLL10
TTLL10	XM_017000907.2	1	1	602477	613807	TTLL10
TTLL10	XM_017000908.2	1	1	602477	614245	TTLL10
TTLL10	XM_017000910.3	1	1	602477	614245	TTLL10
TTLL10	XM_017000909.2	1	1	602477	623416	TTLL10
TTLL10	NM_001130045.2	1	1	602477	626317	TTLL10
TTLL10	NM_001371649.1	1	1	602477	626317	TTLL10
TTLL10	XM_017000906.2	1	1	602477	626317	TTLL10
TTLL10	XM_047416841.1	1	1	602477	626317	TTLL10
TTLL10	XM_047416842.1	1	1	602477	626317	TTLL10
TTLL10	XM_047416843.1	1	1	602477	626317	TTLL10
TTLL10	XM_047416870.1	1	1	602477	626317	TTLL10
TTLL10	XM_017000912.2	1	1	604832	626317	TTLL10
TTLL10	NM_153254.3	1	1	608278	614245	TTLL10
TTLL10	XM_005244738.2	1	1	608278	626317	TTLL10
TNFRSF18	NM_004195.3	1	-1	631965	635049	TNFRSF18
TNFRSF18	NM_148901.2	1	-1	631965	635049	TNFRSF18
TNFRSF18	NM_148902.2	1	-1	631965	635049	TNFRSF18
