DDX11L10	NR_045117.1	16	1	4481	7016	DDX11L10	transcript
MIR6859-4	NR_128720.1	16	-1	9974	10041	MIR6859-4	primary_transcript
MIR6859-4	unassigned_transcript_2825	16	-1	9974	9996	MIR6859-4	miRNA
MIR6859-4	unassigned_transcript_2826	16	-1	10014	10036	MIR6859-4	miRNA
WASIR2	NR_130735.1	16	1	15844	18037	WASIR2	lnc_RNA
POLR3K	NM_016310.5	16	-1	39992	47144	POLR3K	mRNA
SNRNP25	NM_024571.4	16	1	47364	51206	SNRNP25	mRNA
RHBDF1	XM_054313667.1	16	-1	51596	69903	RHBDF1	mRNA
RHBDF1	XM_054313670.1	16	-1	51596	66174	RHBDF1	mRNA
RHBDF1	NM_022450.5	16	-1	51596	66174	RHBDF1	mRNA
RHBDF1	XM_054313669.1	16	-1	51596	66174	RHBDF1	mRNA
RHBDF1	XM_054313666.1	16	-1	51596	66174	RHBDF1	mRNA
RHBDF1	XM_054313664.1	16	-1	51596	65741	RHBDF1	mRNA
RHBDF1	XM_054313665.1	16	-1	51596	65739	RHBDF1	mRNA
RHBDF1	XM_054313668.1	16	-1	51596	65738	RHBDF1	mRNA
RHBDF1	XM_054313671.1	16	-1	53370	58577	RHBDF1	mRNA
MPG	NM_001015054.3	16	1	70552	79447	MPG	mRNA
MPG	NM_002434.4	16	1	71770	79447	MPG	mRNA
MPG	NM_001015052.3	16	1	71770	79447	MPG	mRNA
NPRL3	NM_001077350.3	16	-1	78987	132241	NPRL3	mRNA
NPRL3	NM_001243247.2	16	-1	78987	132241	NPRL3	mRNA
NPRL3	NM_001039476.3	16	-1	78987	132241	NPRL3	mRNA
NPRL3	NM_001243248.2	16	-1	78987	132241	NPRL3	mRNA
NPRL3	NM_001243249.2	16	-1	78987	132241	NPRL3	mRNA
HBZ	NM_005332.3	16	1	146215	148144	HBZ	mRNA
LOC107983982	XR_007086792.1	16	1	154949	156963	LOC107983982	lnc_RNA
HBM	NM_001003938.4	16	1	160010	160797	HBM	mRNA
HBA2	NM_000517.6	16	1	166917	167751	HBA2	mRNA
HBA1	NM_000558.5	16	1	170722	171564	HBA1	mRNA
HBQ1	NM_005331.5	16	1	174501	175221	HBQ1	mRNA
LUC7L	XM_054313455.1	16	-1	182837	223275	LUC7L	mRNA
LUC7L	NM_201412.3	16	-1	182837	223275	LUC7L	mRNA
LUC7L	NM_001320226.2	16	-1	182837	223275	LUC7L	mRNA
LUC7L	NM_018032.5	16	-1	182837	223275	LUC7L	mRNA
LUC7L	XM_054313456.1	16	-1	182837	223275	LUC7L	mRNA
LUC7L	NM_001330420.2	16	-1	182837	223275	LUC7L	mRNA
LUC7L	XM_054313457.1	16	-1	182837	214584	LUC7L	mRNA
LUC7L	XM_054313458.1	16	-1	183778	223275	LUC7L	mRNA
FAM234A	NR_104317.2	16	1	228632	264793	FAM234A	transcript
FAM234A	XM_054314120.1	16	1	228632	260926	FAM234A	mRNA
FAM234A	XM_054314133.1	16	1	228632	260926	FAM234A	mRNA
FAM234A	XM_054314121.1	16	1	228632	260926	FAM234A	mRNA
FAM234A	XM_054314113.1	16	1	228632	260926	FAM234A	mRNA
FAM234A	XM_054314126.1	16	1	228632	260926	FAM234A	mRNA
FAM234A	XM_054314128.1	16	1	228632	260926	FAM234A	mRNA
FAM234A	XM_054314122.1	16	1	228632	260926	FAM234A	mRNA
FAM234A	XM_054314119.1	16	1	228632	260926	FAM234A	mRNA
FAM234A	XM_054314114.1	16	1	228632	260926	FAM234A	mRNA
FAM234A	XM_054314127.1	16	1	228632	260926	FAM234A	mRNA
FAM234A	XM_054314129.1	16	1	228632	260926	FAM234A	mRNA
FAM234A	XM_054314117.1	16	1	228632	260926	FAM234A	mRNA
FAM234A	XM_054314132.1	16	1	228632	260926	FAM234A	mRNA
FAM234A	XM_054314134.1	16	1	228632	260926	FAM234A	mRNA
FAM234A	XM_054314118.1	16	1	228632	260926	FAM234A	mRNA
FAM234A	XM_054314131.1	16	1	228632	260926	FAM234A	mRNA
FAM234A	XM_054314135.1	16	1	228632	260926	FAM234A	mRNA
FAM234A	NM_032039.4	16	1	228632	260926	FAM234A	mRNA
FAM234A	XM_054314125.1	16	1	228632	260926	FAM234A	mRNA
FAM234A	XM_054314124.1	16	1	228632	260926	FAM234A	mRNA
FAM234A	XM_054314137.1	16	1	228632	260926	FAM234A	mRNA
FAM234A	NM_001284497.2	16	1	228632	260926	FAM234A	mRNA
FAM234A	XM_054314130.1	16	1	234896	260926	FAM234A	mRNA
FAM234A	XM_054314116.1	16	1	234902	260926	FAM234A	mRNA
FAM234A	XM_054314123.1	16	1	235023	260926	FAM234A	mRNA
FAM234A	XM_054314136.1	16	1	237448	260926	FAM234A	mRNA
FAM234A	XM_054314115.1	16	1	237448	260926	FAM234A	mRNA
RGS11	NM_183337.3	16	-1	263137	270775	RGS11	mRNA
RGS11	XM_054314253.1	16	-1	263137	270775	RGS11	mRNA
RGS11	NM_001286485.2	16	-1	263137	270775	RGS11	mRNA
RGS11	NM_001286486.2	16	-1	263137	270775	RGS11	mRNA
RGS11	NM_003834.3	16	-1	263137	270775	RGS11	mRNA
RGS11	XM_054314254.1	16	-1	263137	270775	RGS11	mRNA
RGS11	XM_054314256.1	16	-1	263137	270169	RGS11	mRNA
RGS11	XM_054314255.1	16	-1	264340	270775	RGS11	mRNA
RGS11	XM_054314259.1	16	-1	266060	270775	RGS11	mRNA
RGS11	XM_054314260.1	16	-1	266935	270775	RGS11	mRNA
RGS11	XM_054314258.1	16	-1	266935	270775	RGS11	mRNA
RGS11	XM_054314257.1	16	-1	266935	270775	RGS11	mRNA
