DDX11L5	NR_051986.1	9	1	5788	8326	DDX11L5	transcript
WASHC1	NM_182905.6	9	-1	8314	23877	WASHC1	mRNA
WASHC1	NM_001378090.1	9	-1	8314	23594	WASHC1	mRNA
MIR1302-9HG	NR_197460.1	9	1	23797	25027	MIR1302-9HG	lnc_RNA
MIR1302-9	NR_036266.1	9	1	24282	24419	MIR1302-9	primary_transcript
MIR1302-9	unassigned_transcript_1654	9	1	24354	24374	MIR1302-9	miRNA
FAM138C	NR_026822.1	9	-1	28530	30000	FAM138C	lnc_RNA
LOC124906820	XR_007080194.1	9	-1	37740	72553	LOC124906820	lnc_RNA
LOC124906820	XR_007080193.1	9	-1	37740	68001	LOC124906820	lnc_RNA
PGM5P3-AS1	NR_121190.1	9	1	66825	82963	PGM5P3-AS1	lnc_RNA
PGM5P3-AS1	NR_121188.1	9	1	66825	69435	PGM5P3-AS1	lnc_RNA
PGM5P3-AS1	NR_121189.1	9	1	66825	69435	PGM5P3-AS1	lnc_RNA
LINC01388	NR_187611.1	9	-1	95136	107931	LINC01388	lnc_RNA
LINC01388	NR_187612.1	9	-1	95136	107931	LINC01388	lnc_RNA
FOXD4	NM_207305.5	9	-1	110353	112540	FOXD4	mRNA
ZNG1A	NR_174355.1	9	-1	114953	173385	ZNG1A	transcript
ZNG1A	NR_174360.1	9	-1	114953	173385	ZNG1A	transcript
ZNG1A	NR_174356.1	9	-1	114953	173385	ZNG1A	transcript
ZNG1A	NR_174357.1	9	-1	114953	173385	ZNG1A	transcript
ZNG1A	NR_174353.1	9	-1	114953	173385	ZNG1A	transcript
ZNG1A	NR_174358.1	9	-1	114953	173385	ZNG1A	transcript
ZNG1A	NR_174359.1	9	-1	114953	173355	ZNG1A	transcript
ZNG1A	NM_001399798.1	9	-1	114953	173385	ZNG1A	mRNA
ZNG1A	NM_001399800.1	9	-1	114953	173385	ZNG1A	mRNA
ZNG1A	XM_054363285.1	9	-1	114953	173385	ZNG1A	mRNA
ZNG1A	NM_001399807.1	9	-1	114953	173385	ZNG1A	mRNA
ZNG1A	NM_001399804.1	9	-1	114953	173385	ZNG1A	mRNA
ZNG1A	XM_054363284.1	9	-1	114953	173385	ZNG1A	mRNA
ZNG1A	NM_001399808.1	9	-1	114953	173385	ZNG1A	mRNA
ZNG1A	NM_001145356.2	9	-1	114953	173385	ZNG1A	mRNA
ZNG1A	NM_001399809.1	9	-1	114953	173385	ZNG1A	mRNA
ZNG1A	NM_018491.5	9	-1	114953	173385	ZNG1A	mRNA
ZNG1A	NM_001399801.1	9	-1	114953	173385	ZNG1A	mRNA
ZNG1A	NM_001399799.1	9	-1	114953	173385	ZNG1A	mRNA
ZNG1A	NM_001399803.1	9	-1	114953	173385	ZNG1A	mRNA
ZNG1A	NM_001399802.1	9	-1	114953	173385	ZNG1A	mRNA
ZNG1A	NM_001145355.2	9	-1	114953	173385	ZNG1A	mRNA
ZNG1A	NM_001399805.1	9	-1	114953	173355	ZNG1A	mRNA
LOC105375942	XR_007080203.1	9	-1	123924	129299	LOC105375942	lnc_RNA
ZNG1A	XR_008488047.1	9	-1	129331	173385	ZNG1A	transcript
