LOC124908003	NR_185494.1	18	1	2951	8129	LOC124908003	lnc_RNA
LOC124908042	XR_007088604.1	18	1	34890	38818	LOC124908042	lnc_RNA
LOC124908042	XR_007088603.1	18	1	34890	38721	LOC124908042	lnc_RNA
LOC124908042	XR_007088605.1	18	1	34890	35838	LOC124908042	lnc_RNA
LOC124908041	XM_047446875.1	18	-1	38987	41019	LOC124908041	mRNA
LOC124908041	XM_047446876.1	18	-1	38994	41020	LOC124908041	mRNA
LOC124908041	XM_047446877.1	18	-1	39010	40684	LOC124908041	mRNA
LOC124908041	NM_001421730.1	18	-1	39023	41417	LOC124908041	mRNA
LOC124908005	NR_185493.1	18	1	56925	62146	LOC124908005	lnc_RNA
LOC124908014	XR_007088285.1	18	1	88906	92834	LOC124908014	lnc_RNA
LOC124908014	XR_007088284.1	18	1	88906	92737	LOC124908014	lnc_RNA
LOC124908014	XR_007088286.1	18	1	88906	89854	LOC124908014	lnc_RNA
LOC124908013	XM_047446846.1	18	-1	93009	94703	LOC124908013	mRNA
LOC124908013	XM_047446842.1	18	-1	93011	97136	LOC124908013	mRNA
LOC124908013	XM_047446841.1	18	-1	93011	97136	LOC124908013	mRNA
LOC124908013	XM_047446843.1	18	-1	93026	94846	LOC124908013	mRNA
LOC124908013	XM_047446844.1	18	-1	93030	94846	LOC124908013	mRNA
LOC124908013	NM_001421744.1	18	-1	93039	95433	LOC124908013	mRNA
LOC124908006	NR_185492.1	18	1	110981	116202	LOC124908006	lnc_RNA
LOC124908017	XR_007088288.1	18	1	142952	146880	LOC124908017	lnc_RNA
LOC124908017	XR_007088287.1	18	1	142952	146783	LOC124908017	lnc_RNA
LOC124908017	XR_007088289.1	18	1	142952	143900	LOC124908017	lnc_RNA
LOC124908015	XM_047446852.1	18	-1	147055	148749	LOC124908015	mRNA
LOC124908015	XM_047446848.1	18	-1	147057	151182	LOC124908015	mRNA
LOC124908015	XM_047446847.1	18	-1	147057	151182	LOC124908015	mRNA
LOC124908015	XM_047446849.1	18	-1	147072	148892	LOC124908015	mRNA
LOC124908015	XM_047446850.1	18	-1	147076	148892	LOC124908015	mRNA
LOC124908015	NM_001421742.1	18	-1	147085	149479	LOC124908015	mRNA
LINC02564	NR_149138.1	18	1	165307	169674	LINC02564	lnc_RNA
LINC02564	NR_149137.1	18	1	165821	169674	LINC02564	lnc_RNA
LOC105371950	XR_007088292.1	18	1	196872	200925	LOC105371950	lnc_RNA
LOC105371950	XR_007088290.1	18	1	196872	200704	LOC105371950	lnc_RNA
LOC105371950	XR_007088293.1	18	1	196872	197820	LOC105371950	lnc_RNA
TUBB8B	NM_001358689.2	18	-1	201006	203401	TUBB8B	mRNA
TUBB8B	NM_001389609.1	18	-1	201009	227325	TUBB8B	mRNA
TUBB8B	NM_001389610.1	18	-1	201009	227325	TUBB8B	mRNA
ROCK1P1	NR_033770.1	18	1	262855	276012	ROCK1P1	transcript
ROCK1P1	NR_160778.1	18	1	265403	276133	ROCK1P1	transcript
ROCK1P1	NR_160777.1	18	1	265888	276133	ROCK1P1	transcript
MIR8078	NR_107045.1	18	-1	266046	266129	MIR8078	primary_transcript
MIR8078	unassigned_transcript_3189	18	-1	266056	266078	MIR8078	miRNA
LOC105371951	XR_007088294.1	18	1	305163	311916	LOC105371951	lnc_RNA
USP14	NM_005151.4	18	1	312304	368380	USP14	mRNA
