LOC107987170	XR_001748946.2	12	1	23417	30413	LOC107987170
FAM138D	NR_026823.2	12	-1	30786	32250	FAM138D
IQSEC3	XM_047428865.1	12	1	58888	167461	IQSEC3
IQSEC3	XM_011520960.2	12	1	58888	170835	IQSEC3
IQSEC3	XM_017019311.2	12	1	58888	170835	IQSEC3
IQSEC3	NM_001170738.2	12	1	58888	174477	IQSEC3
IQSEC3	XM_011520958.3	12	1	58888	174477	IQSEC3
IQSEC3	NM_015232.2	12	1	69570	167461	IQSEC3
IQSEC3	XM_011520961.2	12	1	91347	174477	IQSEC3
LOC105369593	XR_931533.3	12	-1	99511	104747	LOC105369593
LOC574538	NR_033859.2	12	-1	130398	142123	LOC574538
IQSEC3-AS1	XR_001748948.2	12	-1	160747	178434	IQSEC3-AS1
IQSEC3-AS1	XR_007063148.1	12	-1	160747	178434	IQSEC3-AS1
SLC6A12	XM_047429417.1	12	-1	179875	211078	SLC6A12
SLC6A12	XM_047429418.1	12	-1	186072	200673	SLC6A12
SLC6A12	XM_047429419.1	12	-1	186072	206758	SLC6A12
SLC6A12	NM_001122847.3	12	-1	186072	210623	SLC6A12
SLC6A12	NM_003044.5	12	-1	186072	210623	SLC6A12
SLC6A12	XM_011521010.2	12	-1	186072	210623	SLC6A12
SLC6A12	XM_047429416.1	12	-1	186072	210623	SLC6A12
SLC6A12	NM_001122848.3	12	-1	186072	211078	SLC6A12
SLC6A12	NM_001206931.2	12	-1	186072	211078	SLC6A12
SLC6A12	XM_005253748.4	12	-1	186072	211078	SLC6A12
SLC6A12	XM_005253747.5	12	-1	187542	211078	SLC6A12
SLC6A12	XM_006719005.4	12	-1	187542	211078	SLC6A12
SLC6A12-AS1	NR_120475.1	12	1	200567	202015	SLC6A12-AS1
SLC6A13	XM_006719008.4	12	-1	217551	234497	SLC6A13
SLC6A13	XM_017019842.2	12	-1	217551	234497	SLC6A13
SLC6A13	XM_017019845.2	12	-1	217551	234497	SLC6A13
SLC6A13	XM_047429420.1	12	-1	217551	239550	SLC6A13
SLC6A13	NM_001190997.3	12	-1	217551	259667	SLC6A13
SLC6A13	NM_016615.5	12	-1	217551	259667	SLC6A13
LOC102723544	NR_120482.1	12	-1	250277	254131	LOC102723544
SLC6A13	NM_001243392.2	12	-1	255820	259667	SLC6A13
KDM5A	NM_001042603.3	12	-1	276885	386174	KDM5A
CCDC77	NM_001130147.2	12	1	386201	438211	CCDC77
CCDC77	NM_001130148.2	12	1	386201	438211	CCDC77
LOC105369594	XR_007063149.1	12	-1	386917	398297	LOC105369594
CCDC77	NM_001130146.2	12	1	398531	438211	CCDC77
CCDC77	NM_032358.4	12	1	398531	438211	CCDC77
B4GALNT3	NM_173593.4	12	1	455476	559475	B4GALNT3
LOC124902853	XR_007063151.1	12	1	467280	473158	LOC124902853
LOC124902852	XR_007063150.1	12	-1	503307	503752	LOC124902852
NINJ2	NM_001294345.2	12	-1	560261	606140	NINJ2
NINJ2	NM_001294346.2	12	-1	560261	639443	NINJ2
NINJ2	NM_001367996.1	12	-1	560261	639443	NINJ2
NINJ2	NR_160428.1	12	-1	560261	639443	NINJ2
NINJ2	NM_016533.6	12	-1	560261	659273	NINJ2
LOC105369595	NR_134624.1	12	-1	581683	582472	LOC105369595
NINJ2-AS1	NR_122124.1	12	1	626689	641685	NINJ2-AS1
LINC02455	XR_001748952.3	12	-1	669659	712500	LINC02455
LINC02455	XR_931543.3	12	-1	677619	712500	LINC02455
LOC101929432	XR_001748951.1	12	1	685716	699248	LOC101929432
LOC101929432	XR_001748950.2	12	1	685773	699248	LOC101929432
LOC101929432	XR_429020.4	12	1	685773	706895	LOC101929432
LOC101929432	XR_931541.3	12	1	685773	721011	LOC101929432
LOC101929432	XR_007063152.1	12	1	685773	724155	LOC101929432
LOC101929432	XR_007063153.1	12	1	685773	724155	LOC101929432
WNK1	NM_001184985.2	12	1	748443	907208	WNK1
WNK1	NM_014823.3	12	1	748443	907208	WNK1
WNK1	NM_018979.4	12	1	748443	907208	WNK1
WNK1	NM_213655.5	12	1	748443	907208	WNK1
WNK1	XM_006719003.3	12	1	748443	907208	WNK1
WNK1	XM_011520997.4	12	1	748443	907208	WNK1
WNK1	XM_011520998.3	12	1	748443	907208	WNK1
WNK1	XM_011520999.3	12	1	748443	907208	WNK1
WNK1	XM_011521000.3	12	1	748443	907208	WNK1
WNK1	XM_011521001.3	12	1	748443	907208	WNK1
WNK1	XM_011521002.3	12	1	748443	907208	WNK1
